,0
674,243.199997
675,248.699997
676,252.600006
677,243.300003
678,240.300003
679,236.0
680,231.100006
681,234.800003
682,230.600006
683,232.899994
684,235.899994
685,245.5
686,240.600006
687,243.0
688,239.199997
689,239.199997
690,243.899994
691,245.699997
692,251.699997
693,246.300003
694,247.899994
695,248.0
696,247.199997
697,248.199997
698,246.199997
699,243.399994
700,238.600006
701,240.100006
702,236.100006
703,233.5
704,235.699997
705,233.800003
706,228.399994
707,223.600006
708,225.100006
709,224.100006
710,226.5
711,228.0
712,225.199997
713,223.5
714,216.300003
715,242.199997
716,245.5
717,249.699997
718,252.800003
719,252.0
720,254.699997
721,244.699997
722,243.100006
723,248.300003
724,253.5
725,259.100006
726,261.0
727,268.0
728,269.299988
729,272.899994
730,268.600006
731,271.5
732,277.899994
733,277.899994
734,274.5
735,274.100006
736,284.100006
737,294.100006
738,297.200012
739,306.299988
740,312.0
741,302.0
742,293.700012
743,285.799988
744,287.5
745,285.5
746,280.5
747,292.899994
748,290.0
749,291.799988
750,275.200012
751,272.600006
752,271.5
753,268.0
754,266.5
755,256.299988
756,278.200012
757,288.200012
758,286.299988
759,276.299988
760,266.399994
761,262.399994
762,263.5
763,271.200012
764,275.0
765,285.0
766,286.0
767,279.5
768,286.0
769,296.0
770,305.600006
771,310.700012
772,311.5
773,308.700012
774,298.799988
775,296.299988
776,300.899994
777,309.600006
778,311.399994
779,314.100006
780,307.200012
781,311.700012
782,321.700012
783,331.700012
784,340.899994
785,344.0
786,342.0
787,345.700012
788,349.5
789,350.399994
790,337.5
791,356.0
792,358.0
793,362.799988
794,352.5
795,353.0
796,349.5
797,361.899994
798,366.899994
799,323.5
800,325.100006
801,315.100006
802,309.299988
803,307.899994
804,315.5
805,313.100006
806,312.299988
807,302.299988
808,299.5
809,309.5
810,299.5
811,302.5
812,299.799988
813,301.299988
814,302.5
815,306.100006
816,307.5
817,311.799988
818,313.200012
819,303.200012
820,295.299988
821,291.5
822,281.5
823,277.299988
824,282.799988
825,272.799988
826,277.700012
827,270.799988
828,268.0
829,267.399994
830,273.100006
831,283.100006
832,279.799988
833,281.5
834,265.700012
835,268.700012
836,266.600006
837,270.299988
838,275.0
839,274.0
840,276.5
841,276.5
842,283.899994
843,298.0
844,308.0
845,316.799988
846,312.799988
847,310.799988
848,317.200012
849,313.5
850,314.399994
851,313.799988
852,308.200012
853,298.200012
854,299.200012
855,294.0
856,297.200012
857,287.399994
858,289.700012
859,283.5
860,279.0
861,284.200012
862,281.600006
863,279.0
864,287.700012
865,293.799988
866,292.799988
867,301.5
868,300.100006
869,303.399994
870,301.799988
871,298.5
872,308.5
873,312.600006
874,321.100006
875,316.600006
876,324.899994
877,336.0
878,332.899994
879,337.0
880,327.899994
881,323.100006
882,326.5
883,327.299988
884,356.100006
885,354.799988
886,351.0
887,361.0
888,351.0
889,342.600006
890,335.200012
891,334.399994
892,334.5
893,333.0
894,334.600006
895,334.5
896,344.5
897,354.5
898,362.600006
899,370.5
900,367.5
901,377.5
902,384.700012
903,376.299988
904,376.799988
905,370.5
906,380.5
907,390.5
908,387.0
909,390.399994
910,382.700012
911,375.0
912,385.0
913,389.600006
914,389.0
915,381.100006
916,383.0
917,378.399994
918,374.700012
919,376.0
920,372.100006
921,365.5
922,372.0
923,356.0
924,357.399994
925,351.299988
926,355.200012
927,362.399994
928,353.600006
929,351.100006
930,361.100006
931,371.100006
932,375.899994
933,379.0
934,384.5
935,381.100006
936,391.100006
937,396.299988
938,392.700012
939,388.600006
940,389.299988
941,399.299988
942,409.299988
943,414.0
944,410.200012
945,413.399994
946,412.899994
947,412.0
948,406.899994
949,399.600006
950,404.0
951,403.799988
952,404.5
953,414.5
954,424.5
955,428.100006
956,434.200012
957,429.799988
958,431.0
959,443.200012
960,446.899994
961,452.0
962,442.899994
963,446.399994
964,446.100006
965,455.600006
966,464.0
967,407.200012
968,410.799988
969,400.799988
970,396.600006
971,387.200012
972,397.200012
973,393.100006
974,397.0
975,397.5
976,405.5
977,396.299988
978,397.0
979,393.399994
980,388.600006
981,398.600006
982,390.100006
983,393.700012
984,389.799988
985,397.5
986,392.100006
