,0
197,315.0
198,325.0
199,319.700012
200,326.799988
201,325.0
202,315.5
203,307.100006
204,302.5
205,300.200012
206,301.200012
207,291.5
208,287.100006
209,282.200012
210,284.0
211,275.0
212,272.600006
213,279.600006
214,270.799988
215,271.5
216,270.0
217,263.0
218,251.300003
219,242.699997
220,234.600006
221,236.0
222,239.399994
223,245.0
224,235.0
225,225.0
226,229.100006
227,225.5
228,228.899994
229,223.0
230,232.0
231,228.0
232,218.0
233,214.100006
234,206.0
235,209.199997
236,204.0
237,206.100006
238,203.0
239,194.5
240,194.199997
241,196.800003
242,189.600006
243,183.600006
244,177.899994
245,182.0
246,188.899994
247,188.600006
248,185.0
249,195.0
250,205.0
251,206.0
252,195.5
253,203.0
254,202.0
255,198.199997
256,198.199997
257,205.600006
258,204.0
259,198.0
260,206.899994
261,198.600006
262,198.800003
263,201.300003
264,209.0
265,209.5
266,208.0
267,200.300003
268,200.600006
269,201.5
270,209.0
271,214.600006
272,205.100006
273,208.0
274,206.5
275,201.0
276,205.0
277,200.100006
278,198.399994
279,199.899994
280,202.0
281,199.600006
282,207.5
283,210.0
284,215.699997
285,219.5
286,213.300003
287,208.5
288,210.600006
289,215.600006
290,211.5
291,213.899994
292,204.5
293,204.899994
294,207.5
295,207.5
296,210.0
297,220.0
298,222.600006
299,223.0
300,222.899994
301,216.800003
302,216.399994
303,217.800003
304,218.0
305,222.0
306,232.0
307,242.0
308,230.5
309,240.5
310,236.0
311,228.100006
312,226.0
313,227.0
314,220.0
315,217.899994
316,216.800003
317,220.800003
318,223.0
319,233.0
320,234.0
321,244.0
322,254.0
323,253.0
324,243.300003
325,247.699997
326,238.300003
327,240.300003
328,241.199997
329,242.0
330,240.800003
331,238.199997
332,239.600006
333,247.0
334,257.0
335,270.0
336,266.0
337,267.700012
338,267.0
339,263.700012
340,258.5
341,258.5
342,261.5
343,266.0
344,273.0
345,270.0
346,259.100006
347,260.5
348,261.200012
349,255.199997
350,253.300003
351,252.600006
352,247.199997
353,245.699997
354,247.0
355,251.0
356,252.0
357,249.300003
358,248.100006
359,249.5
360,259.5
361,269.5
362,266.5
363,272.399994
364,270.600006
365,280.600006
366,288.5
367,298.5
368,307.0
369,298.700012
370,307.0
371,308.799988
372,316.0
373,312.5
374,311.5
375,307.0
376,302.0
377,313.0
378,305.0
379,313.0
380,308.0
381,305.0
382,290.700012
383,286.600006
384,286.600006
385,285.0
386,288.0
387,297.100006
388,297.600006
389,303.399994
390,313.399994
391,320.0
392,311.0
393,308.0
394,309.299988
395,315.0
396,310.0
397,315.700012
398,305.700012
399,300.0
400,301.5
401,298.600006
402,301.899994
403,309.0
404,313.5
405,313.200012
406,308.0
407,315.299988
408,310.5
409,304.899994
410,306.0
411,307.0
412,299.100006
413,289.100006
414,290.100006
415,288.899994
416,288.0
417,285.5
418,297.100006
419,303.200012
420,300.600006
421,300.600006
422,293.100006
423,285.0
424,285.0
425,279.700012
426,280.0
427,302.700012
428,312.700012
429,319.399994
430,323.799988
431,315.5
432,311.5
433,313.100006
434,319.399994
435,315.5
436,305.600006
437,299.600006
438,303.399994
439,297.0
440,295.299988
441,292.100006
442,282.100006
443,272.100006
444,257.200012
445,247.199997
446,241.0
447,251.0
448,242.0
449,250.300003
450,246.100006
451,244.0
452,234.100006
453,231.0
454,234.0
455,230.600006
456,224.0
457,232.5
458,237.0
459,241.5
460,239.0
461,229.5
462,231.0
463,231.100006
464,227.5
465,224.399994
466,216.800003
467,209.699997
468,213.0
469,232.100006
470,222.5
471,224.5
472,231.899994
473,227.199997
474,218.100006
475,221.5
476,231.5
477,241.5
478,238.699997
479,243.5
480,237.0
481,231.0
482,227.0
483,222.5
484,228.5
485,225.5
486,228.0
487,226.5
488,223.5
489,223.600006
490,217.0
491,219.899994
492,223.600006
493,230.800003
494,232.399994
495,237.100006
496,234.0
497,236.0
498,235.5
499,228.600006
500,236.0
501,244.899994
502,244.0
503,240.100006
504,238.0
505,242.0
506,248.800003
507,247.100006
508,248.899994
509,248.0
510,258.0
511,258.0
512,262.200012
513,265.700012
514,260.899994
515,266.0
516,259.200012
517,255.100006
518,256.0
519,254.0
520,253.0
521,248.5
522,238.5
523,228.5
524,222.600006
525,224.5
526,223.899994
527,222.0
528,223.699997
529,221.5
530,228.0
531,224.0
532,230.300003
533,229.5
534,227.5
535,217.5
536,216.5
537,218.899994
538,218.0
539,227.0
540,226.199997
541,232.5
542,232.100006
543,232.600006
544,241.600006
545,245.0
546,250.899994
547,253.5
548,257.399994
549,262.600006
550,246.5
551,239.0
552,241.699997
553,237.199997
554,244.199997
555,244.600006
556,241.199997
557,245.0
558,244.600006
559,240.0
560,233.399994
561,233.0
562,227.800003
563,224.300003
564,221.0
565,211.100006
566,213.0
567,215.800003
568,217.699997
569,226.600006
570,216.800003
571,224.399994
572,225.5
573,222.0
574,216.800003
575,221.0
576,224.300003
577,228.699997
578,222.0
579,216.199997
580,220.0
581,223.5
582,220.699997
583,220.300003
584,223.100006
585,222.800003
586,224.199997
587,220.899994
588,220.100006
589,221.5
590,221.899994
591,220.899994
592,218.0
593,216.300003
594,212.5
595,220.0
596,217.5
597,219.600006
598,231.699997
599,241.699997
600,247.5
601,246.5
602,241.600006
603,236.300003
604,231.600006
605,223.0
606,218.199997
607,219.600006
608,227.0
609,232.800003
610,230.0
611,231.0
612,232.399994
613,239.600006
614,229.699997
615,229.600006
616,224.699997
617,232.0
618,235.199997
619,237.100006
620,245.0
621,242.199997
622,241.0
623,243.100006
624,246.800003
625,256.700012
626,249.300003
627,247.100006
628,251.0
629,244.300003
630,251.300003
631,249.899994
632,247.300003
633,249.899994
634,246.600006
635,251.0
636,250.399994
637,242.0
638,242.899994
639,241.199997
640,240.300003
641,241.100006
